,,10.8586311,10.877413,10.8655251,10.8400535,10.8885851,10.8675878,10.9015945,10.868194,10.8641997,10.879027,10.8700549,10.8719366,10.8799969,10.8536848,10.8581901,10.9108436,10.8894175,10.8893833,10.8605454,10.8836243,10.8942581,10.9058987,10.8849955,10.8574278,10.91166,10.8430792,10.8922058,10.8895256,10.8491035,10.8562175,10.8813326,10.8704993,10.843429,10.8988691,10.8953381,10.8532609,10.8954242,10.9141919,10.8799319,10.9104068
,x2 values,106.601939,106.59439,106.6006265,106.5992722,106.5947692,106.6153258,106.5744053,106.5979922,106.601133,106.598949,106.5972841,106.568268,106.5929058,106.6057805,106.5897504,106.5686679,106.600426,106.5942838,106.6039245,106.5867914,106.5801028,106.6442544,106.6062095,106.6055188,106.6000143,106.5999165,106.6170898,106.5694336,106.6020752,106.6067763,106.5890389,106.5634316,106.595572,106.6269084,106.584325,106.5841314,106.638513,106.6704243,106.5823703,106.5997684
,x3 values,106.601939,106.59439,106.6006265,106.5992722,106.5947692,106.6153258,106.5744053,106.5979922,106.601133,106.598949,106.5972841,106.568268,106.5929058,106.6057805,106.5897504,106.5686679,106.600426,106.5942838,106.6039245,106.5867914,106.5801028,106.6442544,106.6062095,106.6055188,106.6000143,106.5999165,106.6170898,106.5694336,106.6020752,106.6067763,106.5890389,106.5634316,106.595572,106.6269084,106.584325,106.5841314,106.638513,106.6704243,106.5823703,106.5997684
10.8880062,106.5985182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.8400924,106.5994803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.9044981,106.6357908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.9111587,106.6744939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0
10.9088297,106.5896775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.8937888,106.5832284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.8764235,106.5993305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.8909146,106.6124852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.875208,106.6114877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.8667596,106.5891524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.8783822,106.5761967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
